name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
HK_1,0.0255771,5,-9.97442,10.0256,-0.487452,5.35744e-010,-0.487452,-0.487452
HK_2,-2,5,-12,8,-3.05091,8.006e-009,-3.05091,-3.05091
HK_3,0.0854833,5,-9.91452,10.0855,0.261784,4.64867e-010,0.261784,0.261784
SS_1,-5.02314,0.75,-6.52314,-3.52314,-3,2.59246e-009,-3,-3
SS_2,-5.00931,0.75,-6.50931,-3.50931,-3,4.64861e-009,-3,-3
SS_3,-3,0.5,-4,-2,-5,2.13659e-005,-5.00004,-4.99996
SWRK,-5.79445,1,-7.79445,-3.79445,-5.58599,5.77912e-010,-5.58599,-5.58599
SY_1,-0.855575,0.194538,-1.24465,-0.466499,-1.07569,2.3307e-009,-1.07569,-1.07569
SY_2,-0.69897,0.194538,-1.08805,-0.309894,-1.30103,1.23043e-007,-1.30103,-1.30103
VK_1,0.145241,2.5,-4.85476,5.14524,0.943842,4.5543e-008,0.943842,0.943843
VK_2,0.548435,2.5,-4.45156,5.54844,-0.761482,6.44928e-009,-0.761482,-0.761482
VK_3,0.0101648,2.5,-4.98984,5.01016,-1.84283,8.16104e-006,-1.84285,-1.84282
